variable,model,row,AIC
a,a~b+c+d+e+f,1,59.86
a,a~c+d+e+f,6,65.47
a,a~b+c+d+e,2,66.96
b,b~a+c+d+e+f,1,117.89
b,b~c+d+e+f,6,123.5
b,b~a+c+d+e,2,136.79
c,c~e,30,-3.7
c,c~a+e,19,-2
c,c~b+e,22,-1.92
d,d~a+c+e+f,5,77.79
d,d~a+b+c+e+f,1,79.39
d,d~b+c+e+f,6,79.63
e,e~c+d+f,16,49.89
e,e~b+c+d+f,6,51.23
e,e~a+c+d+f,5,51.66
f,f~c+d+e,16,47.96
f,f~b+c+d+e,6,49.74
f,f~a+c+d+e,5,49.95
